date,completed,created,rejected
2026-07-10,0,4,0
2026-07-13,1,2,0
2026-07-14,1,0,0
2026-07-18,1,3,0
2026-07-19,3,8,1
2026-07-20,7,5,0
2026-07-21,3,7,0
2026-07-22,1,5,0
2026-07-23,5,5,2
2026-07-24,5,7,1
2026-07-25,6,5,0
2026-07-27,3,10,1
2026-07-28,4,13,1
2026-07-29,6,16,4
2026-07-30,0,2,0
2026-07-31,11,22,5
2026-08-01,15,17,2
2026-08-02,10,11,4
2026-08-03,3,1,0
2026-08-04,0,9,0
2026-08-05,0,11,2
2026-08-10,5,18,3
2026-08-11,2,3,0
2026-08-12,5,26,2
2026-08-13,12,3,1
2026-08-14,5,11,0
2026-08-15,2,1,0
2026-08-16,3,0,0
2026-08-18,2,5,2
2026-08-19,8,6,0
2026-08-20,14,17,4
2026-08-21,10,44,8
2026-08-22,2,0,0
